,entity,code,year,human_food,animal_feed,processed
0,Africa,,1961,33000.0,6000.0,14000.0
1,Africa,,1962,43000.0,7000.0,17000.0
2,Africa,,1963,31000.0,7000.0,5000.0
3,Africa,,1964,43000.0,6000.0,14000.0
4,Africa,,1965,34000.0,6000.0,12000.0
5,Africa,,1966,41000.0,6000.0,2000.0
6,Africa,,1967,47000.0,6000.0,4000.0
7,Africa,,1968,50000.0,7000.0,3000.0
8,Africa,,1969,52000.0,6000.0,6000.0
9,Africa,,1970,52000.0,6000.0,8000.0
10,Africa,,1971,60000.0,6000.0,2000.0
11,Africa,,1972,69000.0,7000.0,4000.0
12,Africa,,1973,70000.0,6000.0,16000.0
13,Africa,,1974,72000.0,7000.0,35000.0
14,Africa,,1975,77000.0,8000.0,30000.0
15,Africa,,1976,86000.0,9000.0,41000.0
16,Africa,,1977,89000.0,10000.0,83000.0
17,Africa,,1978,94000.0,11000.0,135000.0
18,Africa,,1979,93000.0,11000.0,194000.0
19,Africa,,1980,92000.0,12000.0,211000.0
20,Africa,,1981,103000.0,12000.0,213000.0
21,Africa,,1982,110000.0,12000.0,269000.0
22,Africa,,1983,74000.0,8000.0,270000.0
23,Africa,,1984,79000.0,8000.0,269000.0
24,Africa,,1985,94000.0,10000.0,290000.0
25,Africa,,1986,102000.0,11000.0,302000.0
26,Africa,,1987,140000.0,16000.0,333000.0
27,Africa,,1988,164000.0,19000.0,363000.0
28,Africa,,1989,295000.0,34000.0,352000.0
29,Africa,,1990,281000.0,26000.0,345000.0
30,Africa,,1991,192000.0,19000.0,402000.0
31,Africa,,1992,200000.0,20000.0,475000.0
32,Africa,,1993,185000.0,21000.0,506000.0
33,Africa,,1994,179000.0,22000.0,471000.0
34,Africa,,1995,294000.0,33000.0,597000.0
35,Africa,,1996,308000.0,36000.0,589000.0
36,Africa,,1997,344000.0,40000.0,642000.0
37,Africa,,1998,394000.0,45000.0,636000.0
38,Africa,,1999,418000.0,46000.0,765000.0
39,Africa,,2000,444000.0,47000.0,828000.0
40,Africa,,2001,453000.0,48000.0,996000.0
41,Africa,,2002,474000.0,51000.0,1172000.0
42,Africa,,2003,493000.0,85000.0,1209000.0
43,Africa,,2004,504000.0,139000.0,1039000.0
44,Africa,,2005,621000.0,95000.0,1596000.0
45,Africa,,2006,641000.0,109000.0,1534000.0
46,Africa,,2007,684000.0,91000.0,1807000.0
47,Africa,,2008,762000.0,97000.0,1943000.0
48,Africa,,2009,658000.0,89000.0,2161000.0
49,Africa,,2010,569000.0,72000.0,2586000.0
50,Africa,,2011,791000.0,102000.0,2670000.0
51,Africa,,2012,826000.0,121000.0,2949000.0
52,Africa,,2013,866000.0,127000.0,2948000.0
53,Albania,ALB,1961,0.0,,0.0
54,Albania,ALB,1962,0.0,,0.0
55,Albania,ALB,1963,0.0,,0.0
56,Albania,ALB,1964,0.0,,0.0
57,Albania,ALB,1965,0.0,,0.0
58,Albania,ALB,1966,0.0,,0.0
59,Albania,ALB,1967,0.0,,0.0
60,Albania,ALB,1968,0.0,,0.0
61,Albania,ALB,1969,0.0,,0.0
62,Albania,ALB,1970,0.0,,0.0
63,Albania,ALB,1971,0.0,,0.0
64,Albania,ALB,1972,0.0,,0.0
65,Albania,ALB,1973,0.0,,0.0
66,Albania,ALB,1974,0.0,,0.0
67,Albania,ALB,1975,0.0,,0.0
68,Albania,ALB,1976,0.0,,0.0
69,Albania,ALB,1977,0.0,,0.0
70,Albania,ALB,1978,0.0,,0.0
71,Albania,ALB,1979,0.0,,0.0
72,Albania,ALB,1980,0.0,,5000.0
